neuterYn,sexCd,weight,noticeDays,age2,processState
U,M,2,10,1,1
U,M,2,10,1,1
U,M,2,10,1,1
N,F,0.7,10,1,0
U,M,20,10,3,0
U,M,3,10,4,0
N,M,4,10,2,1
N,M,5,10,2,1
N,M,2,10,2,1
N,M,4,10,4,1
N,M,6,10,1,0
N,M,6,10,4,0
Y,M,6.5,10,2,1
U,M,14.2,10,6,1
U,M,2.4,10,3,0
U,F,14.2,10,3,1
U,F,4.5,10,11,0
U,F,5,10,2,0
U,Q,7,10,5,0
U,Q,8,10,5,0
U,M,8,10,1,0
U,M,10,7,6,0
N,M,18,10,3,1
U,M,7,10,3,0
U,M,5,10,2,0
N,M,4,10,6,1
U,M,3,10,4,0
N,M,5,10,3,1
N,M,8.25,10,4,0
N,F,3.5,10,3,1
N,M,4,10,5,1
U,F,6.1,10,7,1
N,F,9,10,2,1
N,F,7.5,10,2,1
N,F,7,10,2,1
N,F,9,10,2,1
N,F,2,10,1,1
N,F,3.5,10,3,1
U,F,4,14,2,0
N,M,20,14,1,0
N,M,8,14,6,0
U,F,5.5,10,1,0
U,M,3.7,10,2,0
N,M,4.1,11,5,0
N,M,20,10,2,0
U,F,3.6,10,2,1
N,F,3,10,1,1
N,F,3,10,1,1
N,F,2.8,10,1,1
N,M,3.2,10,1,0
N,F,3,10,1,0
N,F,2,10,1,1
N,F,2,10,1,1
N,M,2.3,10,1,1
N,F,2.2,10,1,1
Y,F,2,10,1,1
N,M,25,10,3,1
N,M,1,10,1,1
N,F,1,10,1,1
N,F,1,10,1,1
N,F,1,10,1,1
N,M,1,10,1,1
N,F,18,10,4,1
N,M,20,10,2,1
U,F,5,10,7,1
N,F,22,10,3,0
N,M,11.2,10,1,1
N,F,7.45,10,1,1
N,M,22.17,10,5,1
U,F,2.17,10,8,0
N,M,2.5,10,2,1
N,M,3,10,1,1
N,M,23,10,4,0
U,M,6,10,4,1
U,Q,1.5,11,1,0
U,Q,1.4,11,1,0
U,Q,1.3,11,1,0
U,Q,1.5,11,1,0
U,Q,1.3,11,1,0
U,Q,1.4,11,1,0
U,F,13,11,5,1
U,M,7,10,2,0
U,M,3,10,1,0
N,M,3,10,1,0
U,M,7,10,2,0
U,M,6,10,2,1
N,F,8,10,8,0
N,F,6,10,1,0
U,M,9.5,10,5,0
N,M,5.3,10,2,0
N,F,5,10,4,1
N,M,2,10,3,1
N,F,3.4,10,2,1
N,M,4,10,4,1
N,F,3,10,2,1
N,F,3.6,10,3,1
N,M,5,10,4,1
N,F,3,10,2,1
N,F,5.9,10,5,1
N,F,2,10,2,1
N,M,2.8,10,2,1
N,F,4,10,3,1
N,F,3.1,10,3,1
N,F,1.3,10,1,1
N,M,3.2,10,3,1
N,F,5,10,4,1
N,M,1.9,10,1,1
N,F,2,10,1,1
U,F,2,10,1,1
N,F,5.5,10,8,0
N,M,6.8,10,3,0
U,F,2,10,1,1
U,M,11,7,4,0
N,F,1,10,1,1
N,F,2,10,1,1
N,M,2,10,1,1
N,M,30,10,4,1
U,M,11,10,2,0
U,F,18,10,2,0
U,F,15,10,3,0
N,M,4.64,10,5,1
U,M,2.3,10,1,1
U,F,2.5,10,1,0
N,M,4,9,0,1
U,M,3,11,4,1
U,F,4.68,9,2,0
U,M,7.36,9,2,0
N,M,7.47,9,0,0
N,M,7.54,9,0,0
N,F,15.76,9,2,0
N,M,20,12,2,0
U,F,1.9,12,9,1
U,F,2.1,11,11,1
N,M,6,11,3,1
U,F,6,11,7,0
U,M,7,10,2,0
N,M,4.3,10,1,1
N,F,4,10,1,1
N,F,3.7,10,1,1
N,M,5,10,1,1
N,M,5,10,1,1
N,M,5,10,1,1
N,M,5,10,1,1
N,F,10,10,2,0
N,F,6,10,2,0
U,F,2.5,10,1,0
U,F,2.5,10,1,0
