kindNum,sexCd,weight,noticeDays,processState
114,M,3.7,10,1
113,M,3,10,1
114,M,2,10,1
128,M,11.26,10,1
114,M,0.5,10,1
114,M,0.5,10,1
114,F,0.5,10,1
114,F,0.5,10,1
114,F,9,10,1
128,M,2.3,10,1
114,F,5,11,0
114,M,5,10,0
34,F,7,12,1
125,M,6.8,10,1
114,M,10,8,0
114,M,10,8,0
114,F,10,8,0
114,F,10,8,0
114,M,3,8,0
114,M,3,8,0
114,M,3,8,0
114,M,3,8,0
114,F,4,8,0
114,M,4,8,0
